.,query_string,normalized_string,freq
10,theory of language understanding,theory of language understanding,4
11,theory of making of,theory of making,4
12,theory of meaning ,theory of meaning,4
13,theory of multimedia learning,theory of multimedia learning,4
14,theory of natural language,theory of natural language,4
15,theory of word processing,theory of word processing,4
16,theories of discourse analysis,theories of discourse analysis,3
17,theories of human behavior,theories of human behavior,3
18,theories of writing ,theories of writing ,3
19,theory of formal languages,theory of formal languages,3
20,theory of games ,theory of games ,3
21,theory of generative lexical,theory of generative lexical,3
22,theory of historical computing,theory of historical computing,3
23,theory of knowledge .,theory of knowledge ,3
24,theory of language NA,theory of language ,3
25,theory of linguistic variation,theory of linguistic variation,3
26,theory of narrative ',theory of narrative ,3
27,theory of oral-formulaic composition,theory of oral-formulaic composition,3
28,theory of ordering lexicographic,theory of ordering lexicographic,3
29,theory of signs ,theory of signs ,3
30,theory of single authorship,theory of single authorship,3
31,theory of syntax (,theory of syntax,3
32,theory of transformational grammar,theory of transformational grammar,3
33,theory of word order,theory of word order,3
34,theories of communication ,theories of communication ,2
35,theories of discourse structure,theories of discourse structure,2
36,theories of editorial practice,theories of editorial practice,2
37,theories of electoral choice,theories of electoral choice,2
38,theories of games ,theories of games ,2
39,theories of intertextuality .,theories of intertextuality,2
40,theories of language acquisition,theories of language acquisition,2
41,theories of late 1900s,theories of late 1900s,2
42,theories of linked open,theories of linked open,2
43,theories of literary characters,theories of literary characters,2
44,theories of literary history,theories of literary history,2
45,theories of literature ,theories of literature ,2
46,theories of meaning ,theories of meaning ,2
47,theories of music .,theories of music,2
48,theories of musical structure,theories of musical structure,2
49,theories of narrative discourse,theories of narrative discourse,2
50,theories of oral composition,theories of oral composition,2
51,theories of reader response,theories of reader response,2
52,theories of scholarly editing,theories of scholarly editing,2
53,theories of social change,theories of social change,2
54,theories of social sciences,theories of social science,2
55,theories of sound generation,theories of sound generation,2
56,theories of sound texture,theories of sound texture,2
57,theories of structure of,theories of structure,2
58,theories of text ,theories of text ,2
59,"theories of textuality \""",theories of textuality,2
60,theorist of digital technology,theorist of digital technology,2
61,theorists of new media,theorists of new media,2
62,theory of . verse,theory of verse ,2
63,theory of 1960s 70s,theory of 1960s 70s,2
64,theory of action .,theory of action,2
65,theory of aesthetics ,theory of aesthetics ,2
66,theory of aurality reflected,theory of aurality reflected,2
67,theory of authorship .,theory of authorship,2
68,theory of authorship attribution,theory of authorship attribution,2
69,theory of book of,theory of book,2
70,theory of communication ,theory of communication ,2
71,theory of communication .,theory of communication ,2
72,theory of competence ,theory of competence ,2
73,theory of competence .,theory of competence ,2
74,theory of computation ',theory of computation ,2
75,theory of computational linguistics,theory of computational linguistics,2
76,theory of content analysis,theory of content analysis,2
77,theory of diffusion of,theory of diffusion,2
78,theory of digital humanities,theory of digital humanities,2
79,theory of directed graphs,theory of directed graphs,2
80,theory of discourse ,theory of discourse ,2
81,theory of discourse structure,theory of discourse structures,2
82,theory of early date,theory of early date,2
83,theory of electronic text,theory of electronic text,2
84,theory of everything ',theory of everything,2
85,theory of generative grammar,theory of generative grammar,2
86,theory of graphs ,theory of graphs ,2
87,theory of history ,theory of history ,2
88,theory of human information,theory of human information,2
89,theory of human nature,theory of human nature,2
90,theory of hypertext ,theory of hypertext ,2
91,theory of ideas ,theory of ideas ,2
92,theory of inexact pattern,theory of inexact pattern,2
93,theory of intelligent reasoning,theory of intelligent reasoning,2
94,theory of interface inadequate,theory of interface inadequate,2
95,theory of language .,theory of language ,2
96,theory of language use,theory of language use,2
97,theory of lexicography ,theory of lexicography ,2
98,theory of lexicon ',theory of lexicon,2
99,theory of linguistic performance,theory of linguistic performance,2
100,theory of literary change,theory of literary change,2
101,theory of literary communication,theory of literary communication,2
102,theory of literature ;,theory of literature ,2
103,theory of literature .,theory of literature ,2
104,theory of meaning .,theory of meaning,2
105,theory of meaning includes,theory of meaning includes,2
106,theory of mediation helps,theory of mediation helps,2
107,theory of memorial reconstruction,theory of memorial reconstruction,2
108,theory of metaphor (,theory of metaphor,2
109,theory of mind ,theory of mind ,2
110,"theory of mind \""",theory of mind ,2
111,theory of mt ,theory of mt ,2
112,theory of music mathematical,theory of music mathematical,2
113,theory of musical structure,theory of musical structure,2
114,theory of narrative coherence,theory of narrative coherence,2
115,theory of narrative developed,theory of narrative developed,2
116,theory of narrative evolution,theory of narrative evolution,2
117,theory of narrative structure,theory of narrative structure,2
118,theory of old english,theory of old english,2
119,theory of oral composition,theory of oral composition,2
120,theory of oral formulaic,theory of oral formulaic,2
121,theory of perception .,theory of perception ,2
122,theory of performance thus,theory of performance thus,2
123,theory of probability metrics,theory of probability metrics,2
124,theory of representational language,theory of representational language,2
125,theory of resulting corpora,theory of resulting corpora,2
126,theory of scholarly editing,theory of scholarly editing,2
127,theory of semantic fields,theory of semantic fields,2
128,theory of semantic-pragmatic coherence,theory of semantic-pragmatic coherence,2
129,theory of semiotics becomes,theory of semiotics becomes,2
130,theory of sequence comparison,theory of sequence comparison,2
131,theory of si parsing,theory of si parsing,2
132,theory of speech acts,theory of speech acts,2
133,theory of structure of,theory of structure,2
134,theory of style .,theory of style ,2
135,theory of style (,theory of style ,2
136,theory of subjective understanding,theory of subjective understanding,2
137,theory of suspensions (,theory of suspensions,2
138,theory of suspensions see,theory of suspensions see,2
139,theory of text ,theory of text ,2
140,theory of text .,theory of text ,2
141,theory of text underlies,theory of text underlies,2
142,theory of texts ,theory of texts ,2
143,theory of textual analysis,theory of textual analysis,2
144,theory of textual markup,theory of textual markup,2
145,theory of tonality .,theory of tonality ,2
146,theory of verse ,theory of verse ,2
147,theory of writing .,theory of writing,2
148,theorem of ' equivalent,theorem of ' equivalent,1
149,theorems of foundations of,theorems of foundations,1
150,theorems of theory .,theorems of theory,1
151,theoretical of essays .,theoretical of essays,1
152,theoretician of french poetic,theoretician of french poetic,1
153,theoreticians of bibliographic information,theoreticians of bibliographic information,1
154,theoreticians of literature provide,theoreticians of literature provide,1
155,theoreticians of variationist grammar,theoreticians of variationist grammar,1
156,theoreticizing of process ,theoreticizing of process ,1
157,theories of ' virtual,theories of ' virtual,1
158,"theories of \"" natural",theories of  natural,1
159,theories of affordance prospect,theories of affordance prospect,1
160,theories of agency (,theories of agency,1
161,theories of agent modelling,theories of agent modelling,1
162,theories of alan turing,theories of alan turing,1
